,,V No,Date,Party,City,Total Amt,Remarks
,,107,24/03/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,4639,FOR APR-2020 (RECEIVED ALL)
,,108,25/03/2020,PARAMOUNT,ANAND,7435,FOR APR-2020 (RECEIVED)
,,109,30/03/2020,NIRALI SURGICAL,NADIAD,8999.5,AS PER TAX INV NO.T3076 DTD.30.3.2020
,,110,31/03/2020,GUJARAT SURGICALS,ANAND,9450,FOR RITESH SIR/HETAL MAM USED.
,,111,01/04/2020,PARAMOUNT,ANAND,6916,FOR APR-MAY 2020
,,112,03/04/2020,NAGESHWARI PRINTER,ANAND,2400,FOR DAKOR XRAY HOUSE
,,113,03/04/2020,GALAXY SURGICAL,ANAND,4720,
,,114,08/04/2020,GUJARAT SURGICALS,ANAND,1456,
,,115,08/04/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,3628,FOR APR-2020
,,116,13/04/2020,RAYTECH MEDICAL SERVICE,AHMEDABAD,5759.28,FOR STAFF USED APR-2020
,,118,17/04/2020,ERA DESIGN INCORPORATION,VADODARA,14750,FOR INTERNAL STAFF USED
,,119,17/04/2020,KHUSBU TAILOR (HEMANT MENGAR),PETLAD,7000,FOR INTERNAL STAFF USED
,,120,20/04/2020,BHAVNA CLEANING,ANAND,4390,FOR APR-MAY 
,,121,21/04/2020,AKSHIT PHARMA AND SURGICALS,ANAND,8288,APR-REQ./BY CHEQUE PURCHASE
,,122,23/04/2020,ARIHANT,,9576,
,,123,25/04/2020,VRAJ PLASTIC,,2400,
,,124,27/04/2020,INDUS,ANAND,1792,
,,125,27/04/2020,HARIHAR BOOK DEPO,ANAND,2430,FOR MAY-2020
,,126,29/04/2020,RINA MEDICAL STORES,,3970.8,FOR CT & MRI USED
,,127,30/04/2020,SHREE GANESH ENTERPRISE,SURAT,7280,FOR MAY-JUN 2020
,,128,30/04/2020,GUJARAT SURGICALS,ANAND,1568,FOR ALL CENTERS
,,129,01/05/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,10810,FOR MAY-2020
,,130,04/05/2020,DARSHI MARKETING,BARODA,766,FOR RECEPTION ANAND
,,131,04/05/2020,PARAMOUNT,ANAND,952,
,,132,05/05/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,142538,REF.MANUAL PO-M-3/19-20 DTD.31-3-2020
,,133,05/05/2020,DARSHI MARKETING,BARODA,6796,FOR ANAND-RECEPTION QUARTERLY STOCK
,,134,06/05/2020,GUJARAT SURGICALS,ANAND,784,FOR ANAND CENTER
,,135,11/05/2020,RAYTECH MEDICAL SERVICE,AHMEDABAD,13415.28,
,,136,13/05/2020,BHAVNA CLEANING,ANAND,5070,
,,137,14/05/2020,FUJI FILM INDIA PVT LTD,AHMEDABAD,86004,FOR MAY-JUN 2020 USED
,,138,14/05/2020,BHAVNA CLEANING,ANAND,2640,FOR MAY/JUN 2020
,,139,14/05/2020,CARESTREAM,,299992,FOR MAY/JUN-2020
,,140,16/05/2020,G V SALES & SERVICE,BARODA,29120,FOR MAY/JUN 2020
,,141,18/05/2020,OM AGENCY,ANAND,1799.35,FOR MAY-JUN 2020
,,142,18/05/2020,RINA MEDICAL STORES,,167.5,FOR CT/MRI REQ.
,,143,18/05/2020,ASHWINI MEDICAL STORE,ANAND,860.7,FOR CT/MRI REQ.
,,144,18/05/2020,PARAMOUNT,ANAND,7840,FOR MAY-2020 REQ (RECEIVED DTD.11.5.2020)
,,145,18/05/2020,PARAMOUNT,ANAND,16941,
,,146,18/05/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,21578.25,
,,147,19/05/2020,PARAMOUNT,ANAND,1485,FOR MRI REQ./DR. DHRUVINA/Dtd.18-05-2020
,,148,21/05/2020,DARSHI MARKETING,BARODA,7976,REF.PO-53-2/19-20 DTD.22.2.2020 (NEW EXTRA BAGS PO)
,,149,22/05/2020,VRAJ PLASTIC,,3110,
,,150,25/05/2020,SWAROOP INDUSTRIES,,14560,
,,151,25/05/2020,AUM CORPORATION,SURAT,10620,FOR RECEPTION AREA
,,152,25/05/2020,MEDICAL GAS PIPELINES & SERVICES,VADODARA,5250,
,,153,26/05/2020,AMIT CHEM TRADERS,VADODARA,22372,FOR USG
,,154,26/05/2020,SARAL HYGIENE PRODUCT PRIVATE LIMITED,ANAND,14560,REF.REJECT PO-150-5/20-21 Dtd.25.5.2020
,,155,28/05/2020,OM AGENCY,ANAND,480.76,FOR DOCTORS MEETING
,,156,29/05/2020,G V SALES & SERVICE,BARODA,77176,FOR JUN-2020
,,157,29/05/2020,VISION SALES,,19979.25,
,,158,30/05/2020,K T HEALTHCARE SOLUTIONS,AHMEDABAD,9599.4,
,,159,30/05/2020,FREELANCE PATEL AGENCY,ANAND,10730,
,,160,02/06/2020,GUJARAT SURGICALS,ANAND,1238,FOR SANITIZING PURPOSE
,,161,02/06/2020,ARVIND GOHIL,ANAND,3750,FOR ANAND USG REQ.
,,162,02/06/2020,ADCARE,MODASA,1456,FOR CT/MRI REQ.
,,163,03/06/2020,GUJARAT SURGICALS,ANAND,635,FOR CT REQ. BIOPSY PURPOSE
,,164,03/06/2020,G V SALES & SERVICE,BARODA,115762,FOR JUN-2020
,,165,03/06/2020,ARVIND GOHIL,ANAND,3750,FOR DAKOR BRANCH REQ.
,,166,03/06/2020,AMIT PAPER MART,,6496,FOR DR.DHAVAL/ 4D SONO/ DIRECT ISSUE
,,167,04/06/2020,INDUS,ANAND,1792,FOR JUN-2020
,,168,04/06/2020,NATIONAL PHARMA,AHMEDABAD,10018,
,,169,04/06/2020,RINA MEDICAL STORES,,910.25,FOR CT-MRI REQ.
,,170,04/06/2020,WHITE HOUSE,,3290.14,
,,171,05/06/2020,SHREE GANESH ENTERPRISE,SURAT,5656,
,,172,08/06/2020,HARIHAR BOOK DEPO,ANAND,2165,RECEIVED ON Dtd.4.6.2020
,,173,08/06/2020,DESKTOP CREATORS,ANAND,50000.88,REF MAIL BY IT/HIMANSHU Dtd.08.06.2020 / FOR REPORTING
,,174,08/06/2020,G V SALES & SERVICE,BARODA,34944,FOR JUN-2020
,,175,08/06/2020,BHAVNA CLEANING,ANAND,750,
,,176,09/06/2020,SHREE GANESH ENTERPRISE,SURAT,28840,FOR CT REQ./BIOPSY PURPOSE
,,177,10/06/2020,N S J CORPORATION,AHMEDABAD,21844,FOR PPE KIT STERILISE
,,178,11/06/2020,DARSHI MARKETING,BARODA,8702,FOR DAKOR REQ.
,,179,11/06/2020,BHAVNA CLEANING,ANAND,1500,FOR JUN-2020
,,180,11/06/2020,AMAR TRADING COMPANY,,538,
,,181,11/06/2020,PARAMOUNT,ANAND,5932,FOR JUN-2020
,,182,12/06/2020,DESKTOP CREATORS,ANAND,2299.15,REF MAIL BY IT/HIMANSHU-Dtd.12.6.2020-MATERIAL ALREADY RECEIVED
,,183,12/06/2020,AKSHIT PHARMA AND SURGICALS,ANAND,13440,FOR INTERNAL STAFF USED
,,184,12/06/2020,GUJARAT SURGICALS,ANAND,1238,FOR SANITIZE PURPOSE
,,185,12/06/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,1393.7,
,,186,12/06/2020,OM AGENCY,ANAND,1799.35,
,,187,13/06/2020,AMAR TRADING COMPANY,,1002,FOR ANAND SANITISE PURPOSE
,,188,13/06/2020,ADCARE,MODASA,2912,FOR CT REQ DESPOSABLE / FRIGHT 260 EXTRA
,,189,15/06/2020,OM AGENCY,ANAND,440.88,FOR DOCTORS MEETING
,,190,15/06/2020,CARESTREAM,,338962,
,,191,16/06/2020,GALAXY SURGICAL,ANAND,404,FOR CT REQ.BIOPSY PURPOSE
,,192,16/06/2020,Inside Solution,Anand,2849.25,FOR K.S.PRAJAPATI HOME PC/REQ BY IT/HIMANSHU
,,193,16/06/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,6345,FOR CT REQ.
,,194,16/06/2020,ENERGY PRINT,BARODA,18240,FOR ALL BRANCHES REPEAT ORDER
,,195,17/06/2020,GUJARAT SURGICALS,ANAND,404,FOR CT REQ.
,,196,17/06/2020,PARAMOUNT,ANAND,5488,
,,197,18/06/2020,VRAJ PLASTIC,,2400,
,,198,19/06/2020,AKSHIT PHARMA AND SURGICALS,ANAND,2116,FOR HAND SANITIZER/RECEPTION/PATIENT USED
,,199,19/06/2020,KENA MARKETING PVT LTD._TAX,BARODA,3816,Ref.reject PO-47-2/19-20 Dtd.21.2.2020
,,200,19/06/2020,KENA MARKETING PVT LTD._TAX,BARODA,2242,Ref.reject PO-47-2/19-20 Dtd.21.2.2020
,,201,20/06/2020,AKSHIT PHARMA AND SURGICALS,ANAND,1551,FOR CT-MANISH REQ.
,,202,22/06/2020,SHREE GANESH ENTERPRISE,SURAT,25760,FOR CT/BIOPSY REQ.
,,203,22/06/2020,SANJIVANI MEDICINES,ANAND,12376.4,FOR INTERNAL STAFF USED
,,204,22/06/2020,DARSHI MARKETING,BARODA,24402,
,,205,22/06/2020,WHITE HOUSE,,1385.7,FOR JUL 2020
,,206,22/06/2020,AKSHIT PHARMA AND SURGICALS,ANAND,4480,
,,207,24/06/2020,RINA MEDICAL STORES,,161.4,REQ. FOR CT-MRI
,,208,24/06/2020,ENERGY PRINT,BARODA,1900,DUE TO URGENCY USED N/W BAGS INSTEAD OF 11*14 REGULAR BAGS
,,209,24/06/2020,FREELANCE PATEL AGENCY,ANAND,11150,
,,210,25/06/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,4144,FOR DOCTORS USED
,,211,25/06/2020,G V SALES & SERVICE,BARODA,115762,FOR JUL-2020
,,212,25/06/2020,PROQMANAGE ASSOCIATES,ANAND,12000,CHEQUE against PI- Fright Rs.200 extra/ For all staff used
,,213,26/06/2020,CARESTREAM,,30203.92,
,,214,26/06/2020,DESKTOP CREATORS,ANAND,4168,REF REPORTING COLOUR PRINTER
,,215,27/06/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,11640.4,FOR JUL-2020
,,216,27/06/2020,AMAR TRADING COMPANY,,1002,FOR SANITISE PURPOSE
,,217,29/06/2020,RADIO RAYS XRAY,AHMEDABAD,27000,FOR REPAIRING
,,218,29/06/2020,OPTILAB,ANAND,4036,FOR RECEPTION
,,219,29/06/2020,KRUSHI AGRITECH,ANAND,3000.57,FOR ANAND ORTHO HOSPITAL
,,220,29/06/2020,SAINI AUTMOBILES,ANAND,6236,FOR ANAND ORTHO HOSPITAL UPS
,,221,29/06/2020,GALAXY SURGICAL,ANAND,3808,FOR DOCTORS USED
,,222,29/06/2020,RINA MEDICAL STORES,,1256.4,
,,223,29/06/2020,BHAVYA MEDICAL & GENERAL STORE,ANAND,9900,FOR INTERNAL STAFF USED
,,224,30/06/2020,Y K J PRODUCTS,PUNE,5811,FOR SANITIZATION
,,225,30/06/2020,FUJI FILM INDIA PVT LTD,AHMEDABAD,71600,FOR JUL-2020
,,226,30/06/2020,ARVIND GOHIL,ANAND,1400,
,,227,01/07/2020,AMIT CHEM TRADERS,VADODARA,37288,FOR JUL-2020
,,228,02/07/2020,HARIHAR BOOK DEPO,ANAND,1886,FOR JUL-2020
,,229,03/07/2020,INDUS,ANAND,1792,FOR JUL-2020
,,230,03/07/2020,G V SALES & SERVICE,BARODA,29120,FOR JUL-2020
,,231,03/07/2020,AMAR TRADING COMPANY,,538,FOR JUL-2020
,,232,04/07/2020,VRAJ PLASTIC,,3430,FOR JUL-2020
,,233,04/07/2020,VRAJ PLASTIC,,400,FOR JUL-2020
,,234,04/07/2020,AKSHIT PHARMA AND SURGICALS,ANAND,1512,FOR HETAL MAM HOUSE
,,235,04/07/2020,INFINITI RETAIL LTD (CROMA),ANAND,2999,CASE PURCHASE / FOR HETAL MAM HOUSE
,,236,04/07/2020,SARAL HYGIENE PRODUCT PRIVATE LIMITED,ANAND,18816,FOR JUL-AUG 2020
,,237,04/07/2020,DESKTOP CREATORS,ANAND,1450.81,FOR HETAL MAM HOUSE/ BY HIMANSHU IT/ CASH PURCHASE
,,238,06/07/2020,ADCARE,MODASA,1456,FOR JUL-2020 MRI REQ.
,,239,06/07/2020,GALAXY SURGICAL,ANAND,5500,FOR RITESH SIR
,,240,06/07/2020,BHAVNA CLEANING,ANAND,6510,FOR JUL-2020
,,241,07/07/2020,DARSHI MARKETING,BARODA,23306,FOR ANAND REQ.
,,242,07/07/2020,GALAXY SURGICAL,ANAND,10800,FOR BRANCH ANESTHETIC USED
,,243,07/07/2020,GUJARAT SURGICALS,ANAND,3676,FOR BRANCHES ANESTHETIC USED
,,244,07/07/2020,SHREE GANESH ENTERPRISE,SURAT,22050,FOR MRI
,,245,07/07/2020,OM AGENCY,ANAND,2259.17,FOR JUL-2020
,,246,07/07/2020,ENERGY PRINT,BARODA,1140,NON WOVEN BAGS INSTEAD OF REGULAR 11*14 BAGS (TEMPORARY)
,,247,07/07/2020,HARIHAR BOOK DEPO,ANAND,540,FOR HR & SCURITY REQ.
,,248,08/07/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,30449.2,FOR JUL-2020 USED
,,249,08/07/2020,PARAMOUNT,ANAND,4117.5,FOR JUL-2020
,,250,08/07/2020,DESKTOP CREATORS,ANAND,40999.76,FOR HETAL MAM HOUSE/ BY HIMANSHU-IT REQ./QUT-4962 DTD.7.7.2020
,,251,10/07/2020,DESKTOP CREATORS,ANAND,17854,FOR REPORTING REQ./ BY HIMANSHU-IT
,,252,10/07/2020,ENERGY PRINT,BARODA,13440,FOR REPORTING/COMMON
,,253,10/07/2020,WHITE HOUSE,,1416,FOR JUL-2020
,,254,11/07/2020,CARESTREAM,,338962,FOR JUL-2020
,,255,11/07/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,10258.4,FOR JUL-2020
,,256,13/07/2020,ARVIND GOHIL,ANAND,520,FOR GENERAL
,,257,14/07/2020,KRISHNA PLASTIC,ANAND,11800,FOR CT DISP BEDSHEET
,,258,14/07/2020,BHAVNA CLEANING,ANAND,1500,FOR SANITISE PURPOSE
,,259,14/07/2020,YOGI SERVICE,,5000,FOR REPORTING REQ.
,,260,14/07/2020,VACHHRAJ MEDICO,ANAND,7350,CASE PURCHASE RECEIVED
,,261,15/07/2020,RINA MEDICAL STORES,,3954.6,FOR VITAMINS ANAND ORTHO HOSP.CT TECHNICIAN
,,262,15/07/2020,GUJARAT SURGICALS,ANAND,5512,FOR INTERNAL STAFF USED
,,263,15/07/2020,AKSHIT PHARMA AND SURGICALS,ANAND,4290,FOR INTERNAL STAFF USED.
,,264,15/07/2020,AKSHIT PHARMA AND SURGICALS,ANAND,11480,FOR INTERNAL STAFF USED
,,265,16/07/2020,INSPIRE INFOTECH PRIVATE LIMITED,New Delhi,125500,For Reporting
,,266,16/07/2020,PARAMOUNT,ANAND,13440,FOR INTERNAL STAFF USED
,,267,17/07/2020,INFINITI RETAIL LTD (CROMA),ANAND,199,CASH PURCHASE/ FOR HETAL MAM HOUSE USED FOR SPEAKER
,,268,17/07/2020,SANJIVANI MEDICINES,ANAND,1589,For selected staff used-Covid 19
,,270,20/07/2020,NAGESHWARI PRINTER,ANAND,2400,FOR DAKOR PNDT
,,271,21/07/2020,GENERATION M (MOBILE STORE),ANAND,6300.98,For Jatan shah Req. By Cheque-16180.
,,272,21/07/2020,ARVIND GOHIL,ANAND,1250,
,,273,21/07/2020,G V SALES & SERVICE,BARODA,154350,FOR JUL-AUG 2020
,,274,21/07/2020,ENERGY PRINT,BARODA,1140,For 11x14 N.W. Bags/ Temporary used instead of Regular bags
,,275,22/07/2020,Inside Solution,Anand,13875,For Aug-2020
,,276,22/07/2020,FREELANCE PATEL AGENCY,ANAND,2100,For Aug-2020
,,277,24/07/2020,ARVIND GOHIL,ANAND,3500,
,,278,24/07/2020,FUJI FILM INDIA PVT LTD,AHMEDABAD,49060.8,For Aug-2020
,,279,24/07/2020,VINAYAK POLYPACK,AHMEDABAD,5575,For Biomedical waste
,,280,25/07/2020,YOGI SERVICE,,3100,FOR AOH-MOUSE & OTHER HETAL MAM HOME/AHAN PC/BY HIMANSHU/IT.
,,281,25/07/2020,SAINI AUTMOBILES,ANAND,6420,For Petlad Branch Inverter/ By Himanshu/ IT
,,282,27/07/2020,YOGI SERVICE,,2500,For Hetal mam house/Freya AIO PC/ By Himanshu/IT.
,,283,27/07/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,9240,FOR DOCTORS USED
,,284,28/07/2020,ASHWINI MEDICAL STORE,ANAND,396,FOR CT/MRI REQ.
,,285,28/07/2020,ASHWINI MEDICAL STORE,ANAND,1261,For MRI req./By Umakant
,,286,28/07/2020,R K ENGINEERING PROJECTS,ANAND,2300,For HRCT related used.
,,287,28/07/2020,GALAXY SURGICAL,ANAND,397,For MRI/CARDIAC Req.
,,288,28/07/2020,VRAJ PLASTIC,,1510,For Aug-2020
,,289,29/07/2020,SAINI AUTMOBILES,ANAND,3881,For GJ23Y3286/ Rate-3463/ Disc.650
,,290,29/07/2020,PROQMANAGE ASSOCIATES,ANAND,12000,By Cheque/ For patient/Security used./ Rs.200 Delivery charges extra.
,,291,29/07/2020,PARAMOUNT,ANAND,7377,For Aug-2020
,,292,29/07/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,11640.7,For Aug-2020
,,293,30/07/2020,HARIHAR BOOK DEPO,ANAND,500,For Aug-2020
,,294,01/08/2020,BHAVNA CLEANING,ANAND,4370,For Aug-2020
,,295,04/08/2020,PARAMOUNT,ANAND,841.8,FOR MRI DEPARTMENT
,,296,05/08/2020,WHITE HOUSE,,2251.5,For Aug-2020
,,297,05/08/2020,FUJI FILM INDIA PVT LTD,AHMEDABAD,62958,For Aug-2020 (New Fuji camera-CT)
,,298,05/08/2020,SANJIVANI MEDICINES,ANAND,2133.4,For staff used
,,299,05/08/2020,HI-TECH SURGICAL SYSTEMS LLP,AHMEDABAD,1680,Cash purchase/ MRI Req
,,300,06/08/2020,SHREE GANESH ENTERPRISE,SURAT,22050,For MRI/ Aug-2020
,,301,06/08/2020,OM AGENCY,ANAND,1200.9,For Aug-2020
,,302,07/08/2020,DARSHI MARKETING,BARODA,23222,For ANAND Imported paper/100gsm/3-months stock
,,303,08/08/2020,SARAL HYGIENE PRODUCT PRIVATE LIMITED,ANAND,18816,For Aug/Sep-2020/ USG Req.
,,304,08/08/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,16800,For Aug-2020/ CT Req.
,,305,10/08/2020,DESKTOP CREATORS,ANAND,4562,TEST
