,,V No,Date,Party,City,Total Amt,Remarks
,,64,01/08/2019,NEW GAYATRI ENTERPRISE,,745,
,,65,06/08/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,930,
,,66,06/08/2019,ENERGY PRINT,BARODA,27494,
,,67,06/08/2019,ADITYA CHEMICLAS,,5980,
,,68,06/08/2019,G V SALES & SERVICE,BARODA,77176,
,,69,06/08/2019,AMIT PAPER MART,,5152,
,,70,06/08/2019,VISION SALES,,23975.1,
,,71,06/08/2019,FREELANCE PATEL AGENCY,ANAND,12600,
,,72,06/08/2019,HARIHAR BOOK DEPO,ANAND,1045,
,,73,07/08/2019,AMIT CHEM TRADERS,VADODARA,22372,
,,74,07/08/2019,CARESTREAM,,21251,
,,75,08/08/2019,PARAMOUNT,ANAND,458.75,
,,76,10/08/2019,SHREE GANESH ENTERPRISE,SURAT,13440,
,,77,10/08/2019,PARAMOUNT,ANAND,17170,
,,78,10/08/2019,PARAMOUNT,ANAND,3404,
,,79,10/08/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,15327,
,,81,10/08/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,57016,
,,82,10/08/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,4675,
,,80,17/08/2019,PARAMOUNT,ANAND,421.9,
,,83,17/08/2019,VRAJ PLASTIC,,1000,
,,84,17/08/2019,CARESTREAM,,327264,
,,85,17/08/2019,AUM CORPORATION,SURAT,14868,
,,86,17/08/2019,FUJI FILM INDIA PVT LTD,AHMEDABAD,71608,
,,87,17/08/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,17959,
,,88,19/08/2019,SAI BABA TRUST,,299.88,
,,89,20/08/2019,INDUS,ANAND,1972,
,,90,22/08/2019,G V SALES & SERVICE,BARODA,77176,
,,91,26/08/2019,GUJARAT SURGICALS,ANAND,504,
,,92,26/08/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,49982,
,,93,29/08/2019,CARESTREAM,,21251,
,,94,29/08/2019,KRISHNA AGENCY,GODHRA,165,
,,95,29/08/2019,KRISHNA AGENCY,GODHRA,247.5,
,,96,29/08/2019,KRISHNA AGENCY,GODHRA,70,
,,97,30/08/2019,OM AGENCY,ANAND,1200.9,
,,98,30/08/2019,ENERGY PRINT,BARODA,5652.6,
,,99,02/09/2019,CARESTREAM,,327264,
,,100,03/09/2019,ENERGY PRINT,BARODA,7880,
,,101,04/09/2019,G V SALES & SERVICE,BARODA,69600,
,,102,04/09/2019,HARIHAR BOOK DEPO,ANAND,1395,
,,103,04/09/2019,VRAJ PLASTIC,,1010,
,,104,05/09/2019,ARIHANT,,14896,
,,105,05/09/2019,ADCARE,MODASA,1456,
,,106,06/09/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,5722,
,,107,07/09/2019,PARAMOUNT,ANAND,3883,
,,108,07/09/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,9905.84,
,,109,07/09/2019,ADITYA CHEMICLAS,,10160,
,,110,09/09/2019,FREELANCE PATEL AGENCY,ANAND,12600,
,,111,09/09/2019,ENERGY PRINT,BARODA,10583.3,
,,112,09/09/2019,G V SALES & SERVICE,BARODA,42518,
,,113,09/09/2019,NEW GAYATRI ENTERPRISE,,614.4,
,,114,10/09/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,0,
,,115,11/09/2019,ENERGY PRINT,BARODA,61327.4,
,,116,13/09/2019,CARESTREAM,,15101.96,
,,117,13/09/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,38010,
,,118,14/09/2019,CARESTREAM,,38970,
,,119,14/09/2019,ENERGY PRINT,BARODA,1975.75,
,,120,14/09/2019,FUJI FILM INDIA PVT LTD,AHMEDABAD,71599.2,
,,121,14/09/2019,AMIT CHEM TRADERS,VADODARA,22372,
,,122,16/09/2019,INDUS,ANAND,1792,
,,123,16/09/2019,ENERGY PRINT,BARODA,3404,
,,124,17/09/2019,SWAROOP INDUSTRIES,,29120,
,,125,18/09/2019,VRAJ PLASTIC,,135,
,,126,19/09/2019,NATIONAL PHARMA,AHMEDABAD,14885,
,,127,19/09/2019,AMIT PAPER MART,,5152,
,,128,19/09/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,5722,
,,129,20/09/2019,OM AGENCY,ANAND,2399.8,
,,130,20/09/2019,ASHWINI MEDICAL STORE,ANAND,717.5,
,,131,20/09/2019,RAJ BOOT HOUSE,,500,
,,132,23/09/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,1120,
,,133,24/09/2019,ENERGY PRINT,BARODA,9402.24,
,,134,26/09/2019,G V SALES & SERVICE,BARODA,15436,
,,135,27/09/2019,ENERGY PRINT,BARODA,9912,
,,136,27/09/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,62996,
,,137,27/09/2019,CARESTREAM,,315094,
,,138,28/09/2019,G V SALES & SERVICE,BARODA,61740,
,,139,30/09/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,142,
,,140,02/10/2019,SURGICAL STEPS,ANAND,806,
,,141,02/10/2019,PARAMOUNT,ANAND,3798,
,,142,02/10/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,58169,
,,143,05/10/2019,INDUS,ANAND,1792,
,,144,05/10/2019,FREELANCE PATEL AGENCY,ANAND,16680,
,,145,07/10/2019,VRAJ PLASTIC,,1245,
,,146,07/10/2019,HARIHAR BOOK DEPO,ANAND,1810,
,,147,07/10/2019,ADITYA CHEMICLAS,,11030,
,,148,08/10/2019,ENERGY PRINT,BARODA,2750,
,,149,10/10/2019,G V SALES & SERVICE,BARODA,77176,
,,150,10/10/2019,DIPU ,,240,
,,151,10/10/2019,VISION SALES,,23975.1,
,,152,10/10/2019,DIPU ,,27,
,,153,12/10/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,38010,
,,154,12/10/2019,ENERGY PRINT,BARODA,9724,
,,155,16/10/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,57016,
,,156,17/10/2019,ENERGY PRINT,BARODA,17286,
,,157,17/10/2019,ARVIND GOHIL,ANAND,2500,
,,158,17/10/2019,ASHWINI MEDICAL STORE,ANAND,1340.65,
,,159,17/10/2019,FUJI FILM INDIA PVT LTD,AHMEDABAD,71608,
,,160,17/10/2019,NATIONAL PHARMA,AHMEDABAD,14885,
,,161,18/10/2019,ARVIND GOHIL,ANAND,2800,
,,162,21/10/2019,ENERGY PRINT,BARODA,4000,
,,163,22/10/2019,SURGICAL STEPS,ANAND,538,
,,164,22/10/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,117,
,,165,22/10/2019,HETAL MEDAM GIFT,,0,
,,166,22/10/2019,CARESTREAM,,369165.76,
,,167,23/10/2019,ENERGY PRINT,BARODA,74338,
,,168,02/11/2019,G V SALES & SERVICE,BARODA,152050,
,,169,02/11/2019,PARAMOUNT,ANAND,6019,
,,170,02/11/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,9693,
,,171,04/11/2019,ENERGY PRINT,BARODA,41400,
,,172,05/11/2019,PARAG MEDICAL,,175,
,,173,06/11/2019,NEW GAYATRI ENTERPRISE,,768,
,,174,06/11/2019,HARIHAR BOOK DEPO,ANAND,1100,
,,175,06/11/2019,KUSUM ELECTRIC CORPORATION,,300,
,,176,06/11/2019,ADITYA CHEMICLAS,,8710,
,,177,06/11/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,236,
,,178,08/11/2019,FREELANCE PATEL AGENCY,ANAND,16680,
,,179,08/11/2019,FREELANCE PATEL AGENCY,ANAND,840,
,,180,12/11/2019,SURGICAL STEPS,ANAND,2352,
,,181,12/11/2019,RINA MEDICAL STORES,,1390.5,
,,182,13/11/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,1293,
,,183,14/11/2019,FUJI FILM INDIA PVT LTD,AHMEDABAD,42802,
,,184,18/11/2019,OM AGENCY,ANAND,1200.9,
,,185,18/11/2019,ARIHANT,,10108,
,,186,20/11/2019,NATIONAL PHARMA,AHMEDABAD,15027,
,,188,21/11/2019,CARESTREAM,,338962,
,,189,21/11/2019,PARAMOUNT,ANAND,841.8,
,,190,22/11/2019,ENERGY PRINT,BARODA,9293,EMERGENCY  PAPER MATERIAL BAG
,,191,22/11/2019,RINA MEDICAL STORES,,2149.56,
,,192,23/11/2019,OM AGENCY,ANAND,1200.9,
,,193,25/11/2019,AMIT CHEM TRADERS,VADODARA,8848,
,,194,25/11/2019,AMIT CHEM TRADERS,VADODARA,22372,
,,195,25/11/2019,ENERGY PRINT,BARODA,33075,
,,196,26/11/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,95024,
,,197,27/11/2019,ADCARE,MODASA,1456,100 COURIER CHARGE
,,198,27/11/2019,DIPU ,,580,
,,208,27/11/2019,VRAJ PLASTIC,,1685,
,,209,27/11/2019,HARIHAR BOOK DEPO,ANAND,1120,
,,199,28/11/2019,G V SALES & SERVICE,BARODA,46306,
,,201,29/11/2019,NEW GAYATRI ENTERPRISE,,768,
,,202,29/11/2019,SAI BABA TRUST,,400,
,,203,29/11/2019,HARIHAR BOOK DEPO,ANAND,80,
,,204,02/12/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,35918,
,,205,03/12/2019,G V SALES & SERVICE,BARODA,69458,
,,206,03/12/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,21667.5,
,,207,03/12/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,2700,
,,210,05/12/2019,AMIT CHEM TRADERS,VADODARA,3472,
,,211,05/12/2019,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,1146.9,
,,212,05/12/2019,G DARSHAN,,1200,
,,213,05/12/2019,ADITYA CHEMICLAS,,10660,
,,214,05/12/2019,AMIT PAPER MART,,4928,
,,215,05/12/2019,SWAROOP INDUSTRIES,,29120,
,,216,09/12/2019,ARVIND GOHIL,ANAND,4600,
,,217,10/12/2019,RINA MEDICAL STORES,,2944.89,
,,218,12/12/2019,ASHWINI MEDICAL STORE,ANAND,311,
,,219,17/12/2019,ENERGY PRINT,BARODA,13250,
,,220,17/12/2019,KRISHNA AGENCY,GODHRA,240,
,,221,18/12/2019,CARESTREAM,,315093.96,
,,222,18/12/2019,FREELANCE PATEL AGENCY,ANAND,16680,
,,223,18/12/2019,HARIHAR BOOK DEPO,ANAND,200,
,,224,19/12/2019,ENERGY PRINT,BARODA,0,
,,225,19/12/2019,FUJI FILM INDIA PVT LTD,AHMEDABAD,100406,
,,226,20/12/2019,VRAJ PLASTIC,,2400,
,,227,20/12/2019,ENERGY PRINT,BARODA,39470,
,,228,21/12/2019,ARVIND GOHIL,ANAND,7500,
,,229,21/12/2019,ENERGY PRINT,BARODA,27960,
,,230,23/12/2019,AMIT CHEM TRADERS,VADODARA,8848,
,,231,23/12/2019,G V SALES & SERVICE,BARODA,150706,
,,232,23/12/2019,SHREE GANESH ENTERPRISE,SURAT,47152,
,,233,24/12/2019,ASHWINI MEDICAL STORE,ANAND,812.2,
,,234,24/12/2019,NATIONAL PHARMA,AHMEDABAD,10018,
,,235,26/12/2019,CARESTREAM,,52857.86,
,,236,27/12/2019,AUM CORPORATION,SURAT,14160,
,,237,03/01/2020,VRAJ PLASTIC,,380,
,,238,03/01/2020,ASHWINI MEDICAL STORE,ANAND,426.5,
,,239,04/01/2020,OM AGENCY,ANAND,600.45,
,,240,06/01/2020,CARESTREAM,,7500.25,carestream camera sathe aaveli che
,,241,06/01/2020,PARAMOUNT,ANAND,5320,
,,242,06/01/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,9778,
,,243,06/01/2020,AMIT CHEM TRADERS,VADODARA,22372,
,,244,06/01/2020,HARIHAR BOOK DEPO,ANAND,725,
,,245,07/01/2020,ENERGY PRINT,BARODA,7600,
,,246,07/01/2020,ADITYA CHEMICLAS,,4750,
,,247,07/01/2020,INDUS,ANAND,1792,Trident
,,248,07/01/2020,ENERGY PRINT,BARODA,63700,approved by madam d cut bag -1 rupees
,,249,09/01/2020,CARESTREAM,,310033.96,
,,250,09/01/2020,ASHWINI MEDICAL STORE,ANAND,213.3,
,,251,09/01/2020,FREELANCE PATEL AGENCY,ANAND,13900,
,,252,13/01/2020,OM AGENCY,ANAND,600.45,
,,253,16/01/2020,ENERGY PRINT,BARODA,13800,
,,254,20/01/2020,ENERGY PRINT,BARODA,8185.94,darshi marketing bill
,,255,20/01/2020,G V SALES & SERVICE,BARODA,115762,20/01/2020 
,,256,21/01/2020,FUJI FILM INDIA PVT LTD,AHMEDABAD,42802,
,,257,24/01/2020,Inside Solution,Anand,8232,
,,258,24/01/2020,G V SALES & SERVICE,BARODA,115762,
,,259,27/01/2020,VRAJ PLASTIC,,150,
,,260,27/01/2020,NEW GAYATRI ENTERPRISE,,768,
,,261,27/01/2020,HARIHAR BOOK DEPO,ANAND,170,
,,262,28/01/2020,G V SALES & SERVICE,BARODA,23296,VEER EXPRESS - 1 CARTOON BOX
,,263,29/01/2020,PARAMOUNT,ANAND,2688,
,,264,29/01/2020,VRAJ PLASTIC,,2400,
,,265,29/01/2020,OM AGENCY,ANAND,1200.9,
,,266,29/01/2020,RINA MEDICAL STORES,,3079,Bill amount after 10% discount is 3079.00
,,267,29/01/2020,ZEENAL ARTS,,1149,
,,268,30/01/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,76020,
,,269,01/02/2020,YOGI SERVICE,,10000,RECEIVED ON DTD 31.1.2020
,,270,01/02/2020,PARAMOUNT,ANAND,5320,
,,271,01/02/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,9778,"CHALAN NO. 2882-25.1.2020, 1197-6.1.2020"
,,272,01/02/2020,ARTEE MEDICAL & GENERAL STORE,,216,
,,273,03/02/2020,G V SALES & SERVICE,BARODA,11648,PO No: 3-1/2019-20
,,274,03/02/2020,ERD THE POWER OF INNOVATION,,170,FOR STORE USE
,,275,03/02/2020,BHAVNA CLEANING,ANAND,280,
,,276,03/02/2020,VRAJ PLASTIC,,600,
,,277,03/02/2020,D MART AVENUE SUPERMARTS LTD,,2178,
,,278,03/02/2020,HARIHAR BOOK DEPO,ANAND,1250,
,,279,03/02/2020,DARSHI MARKETING,BARODA,13250,OLD PO REF. NO 10-01/20-21 DTD 9.1.2020
,,280,04/02/2020,HARIHAR BOOK DEPO,ANAND,175,
,,281,04/02/2020,CARESTREAM,,299992,
,,282,05/02/2020,ARIHANT,,15960,
,,283,05/02/2020,ASHWINI MEDICAL STORE,ANAND,210,FOR CT & IRIS USED
,,284,05/02/2020,HARIHAR BOOK DEPO,ANAND,635,
,,285,06/02/2020,VISION SALES,,23975.1,
,,286,06/02/2020,ADITYA CHEMICLAS,,200,
,,287,06/02/2020,PARAMOUNT,ANAND,3036,
,,288,06/02/2020,INDUS,ANAND,1792,
,,289,07/02/2020,DARSHI MARKETING,BARODA,443,
,,290,07/02/2020,DARSHI MARKETING,BARODA,2319,
,,291,07/02/2020,ASHWINI MEDICAL STORE,ANAND,755,
,,292,08/02/2020,ADITYA CHEMICLAS,,4560,TRANSPORTATION RS.250 EXTRA
,,293,10/02/2020,ADCARE,MODASA,1456,100RS COURIER CHARGES EXTRA
,,294,12/02/2020,HARIHAR BOOK DEPO,ANAND,200,
,,295,13/02/2020,CHANDAN GENERAL STORES,,90,RECEPTION USED
,,296,13/02/2020,SAHAJANAND STATIONARY MART,,50,DOCTOR USED
,,297,13/02/2020,PARUL TV CENTRE,,1320,FOR G/F & NAINESH OFFICE BY AJAY ZARIA & 1 SPARE
,,298,13/02/2020,ASHWINI MEDICAL STORE,ANAND,1076,MATERIAL RECEIVED ON DTD.12.02.2020
,,299,14/02/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,1176,REF. PO-14/1-19/20 DTD.3.1.2020 DUE TO PO CLOSE.
,,300,15/02/2020,DARSHI MARKETING,BARODA,1298,
,,301,15/02/2020,SHREE GANESH ENTERPRISE,SURAT,14560,
,,302,15/02/2020,V K ENTERPRISE,,1600,"REQ FOR MRI, UMAKANT DTD.14.02.2020"
,,303,17/02/2020,D MART AVENUE SUPERMARTS LTD,,530,CHAPPALS FOR VIP'S & ALL OUT FOR MRI WAITING ROOMS
,,304,17/02/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,2386,
,,305,17/02/2020,PARAMOUNT,ANAND,4540,
,,306,17/02/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,29569.25,CH NO. 1568 & 1580
,,307,17/02/2020,AMIT CHEM TRADERS,VADODARA,22372,CH NO. 171 & 175
,,308,18/02/2020,UDGAR ENTERPRISE,ANAND,200,CASE PURCHASE
,,309,18/02/2020,CARESTREAM,,22653.94,
,,310,18/02/2020,ANUPAM CROCKERY DEPOT,,240,CASH PURCHASE FOR DOCTORS BY REQ./HR
,,311,19/02/2020,DARSHI MARKETING,BARODA,14160,
,,312,19/02/2020,G V SALES & SERVICE,BARODA,34944,
,,313,19/02/2020,G V SALES & SERVICE,BARODA,77176,
,,314,19/02/2020,RINA MEDICAL STORES,,2336,
,,315,19/02/2020,Inside Solution,Anand,4740,MATERIAL RECEIVED FOR USG BORSAD
,,316,20/02/2020,D MART AVENUE SUPERMARTS LTD,,486,GOOD KNIGHT FOR ALL DEPT.1M/C WITH 2 REFILLS
,,317,21/02/2020,HARIHAR BOOK DEPO,ANAND,170,For HR Dept.
,,318,22/02/2020,RINA MEDICAL STORES,,1000,CT REQ. DTD.22.02.2020
,,319,22/02/2020,DARSHI MARKETING,BARODA,14269,"RECEIVED QTY.9231 ONLY, PO CLOSED."
,,320,25/02/2020,VRAJ PLASTIC,,2400,
,,321,25/02/2020,DARSHI MARKETING,BARODA,31773,"CH-078, 080 & INV-025"
,,322,25/02/2020,OM AGENCY,ANAND,1800,
,,323,25/02/2020,FREELANCE PATEL AGENCY,ANAND,13900,"600 SONY, 478 HP- PRICE LESS THAN SONY, 78 ONLINE ENTRY-FREE"
,,324,25/02/2020,FREELANCE PATEL AGENCY,ANAND,975,"600 SONY, 478 HP- PRICE LESS THAN SONY, 78 ONLINE ENTRY-FREE"
,,325,25/02/2020,GUJARAT SURGICALS,ANAND,50,FOR MRI PATIENT
,,326,26/02/2020,NEW GAYATRI ENTERPRISE,,614,CASE PURCHASE
,,327,26/02/2020,GUJARAT SURGICALS,ANAND,757,"URGENT REQUIREMENT BY CT, PHY STOCK NOT AVAILABLE, CASE PURCHASE"
,,328,27/02/2020,SWAROOP INDUSTRIES,,29120,
,,329,27/02/2020,FUJI FILM INDIA PVT LTD,AHMEDABAD,71608,
,,330,27/02/2020,CARESTREAM,,338962,
,,331,27/02/2020,HARIHAR BOOK DEPO,ANAND,190,CASH PURCHASE FOR PRESENT REGISTER (6 MONTH) SECURITY & SCALE FOR RAMESH SIR
,,332,28/02/2020,ARVIND GOHIL,ANAND,2100,
,,333,28/02/2020,ARVIND GOHIL,ANAND,100,FOR RAMESH SIR
,,334,02/03/2020,PARAMOUNT,ANAND,4187,FOR MAR-2020
,,335,02/03/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,85766,CH.405 & 418 & INV.1667
,,336,02/03/2020,VRAJ PLASTIC,,695,FOR MAR-2020
,,337,02/03/2020,VRAJ PLASTIC,,175,FOR MAR-2020
,,338,02/03/2020,HARIHAR BOOK DEPO,ANAND,570,FOR MAR-2020
,,339,02/03/2020,G V SALES & SERVICE,BARODA,115762,CH NO.2009 + INV.2285
,,340,02/03/2020,INDUS,ANAND,1792,FOR MAR-2020
,,341,03/03/2020,SAHAJANAND STATIONARY MART,,60,TAKEN BY HIMANSHU / IT / CASH PURCHASE
,,342,04/03/2020,VISION SALES,,23976,FOR MAR-2020
,,343,04/03/2020,HARIHAR BOOK DEPO,ANAND,180,FOR HIMANSHU / IT DEPT.
,,344,04/03/2020,SAHAJANAND STATIONARY MART,,500,FOR CME GIFT PACKING
,,345,04/03/2020,AMIT CHEM TRADERS,VADODARA,22372,FOR MAR-2020
,,346,05/03/2020,RINA MEDICAL STORES,,538,FOR MRI DEPT.
,,347,05/03/2020,HARIHAR BOOK DEPO,ANAND,180,CASE PURCHASE
,,348,06/03/2020,AMIT PAPER MART,,4928,FOR MAR-APR-2020
,,349,11/03/2020,BHAVNA CLEANING,ANAND,3820,FOR MAR-2020
,,350,11/03/2020,SHREE GANESH ENTERPRISE,SURAT,5320,REF. OLD PO NO.16-12/19-20
,,351,12/03/2020,D MART AVENUE SUPERMARTS LTD,,82,FOR ACCOUNT / VAIBHAVI
,,352,12/03/2020,HARIHAR BOOK DEPO,ANAND,470,CASE PURCHASE
,,353,13/03/2020,MODERN WATCH CO.,ANAND,10000,FOR CME USED
,,354,13/03/2020,VRAJ PLASTIC,,2860,FOR DOCTORS MEETING
,,355,13/03/2020,OM AGENCY,ANAND,220,FOR DOCTORS MEETING / HR DEPT REQ.
,,356,14/03/2020,ADITYA CHEMICLAS,,2805,FOR MAR-2020
,,357,14/03/2020,HARIHAR BOOK DEPO,ANAND,180,
,,358,17/03/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,5079,FOR MAR-2020
,,359,18/03/2020,PARAMOUNT,ANAND,842,FOR MRI DEPT REQ.
,,360,18/03/2020,KENA MARKETING PVT LTD._TAX,BARODA,7984,"347 RECEIVED FOR ANAND, PO CLOSED."
,,361,18/03/2020,OM AGENCY,ANAND,220,
,,362,18/03/2020,DARSHI MARKETING,BARODA,3138,
,,363,18/03/2020,ENERGY PRINT,BARODA,1534,FOR MIHIR JOSHI-MARKETING
,,364,19/03/2020,BHAVNA CLEANING,ANAND,8350,FOR MAR-APR 2020
,,365,19/03/2020,WHITE HOUSE,,10499,FOR MAR-APR 2020
,,366,19/03/2020,PARAMOUNT,ANAND,5498,FOR MAR-APR 2020
,,367,19/03/2020,ASHWINI MEDICAL STORE,ANAND,65,FOR CT REQ.
,,368,19/03/2020,FREELANCE PATEL AGENCY,ANAND,11850,FOR MAR-APR 2020
,,369,20/03/2020,NEW GAYATRI ENTERPRISE,,768,FOR MAR-APR 2020
,,370,20/03/2020,HARIHAR BOOK DEPO,ANAND,205,FOR GENERAL & ACCOUNT VAIBHAVI
,,371,20/03/2020,G V SALES & SERVICE,BARODA,34944,FOR MAR-APR 2020
,,372,20/03/2020,GALAXY SURGICAL,ANAND,5600,FOR MAR-APR 2020
,,373,20/03/2020,HARIHAR BOOK DEPO,ANAND,100,FOR HR REQ.
,,374,21/03/2020,BHAVNA CLEANING,ANAND,2640,FOR MAR-APR 2020
,,375,21/03/2020,SHREE GANESH ENTERPRISE,SURAT,6720,FOR CT REQ.
,,376,21/03/2020,FUJI FILM INDIA PVT LTD,AHMEDABAD,100406,FOR MAR-APR 2020
,,377,23/03/2020,CARESTREAM,,369165.92,FOR APR-2020
,,378,23/03/2020,ARVIND ELECTRIC STORES,ANAND,1650,FOR X RAY VAN REQ.
,,379,24/03/2020,NATIONAL PHARMA,AHMEDABAD,14885,FOR MAR-APR 2020
,,380,31/03/2020,PARAMOUNT,ANAND,7435,FOR MAR-APR 2020
,,381,31/03/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,4639,FOR MAR-APR 2020
,,382,01/04/2020,GUJARAT SURGICALS,ANAND,9450,FOR RITESH SIR & HETAL MAM USED
,,383,01/04/2020,PARAMOUNT,ANAND,6916,FOR APR-MAY 2020
