,Document Name,Chln.No,Chln.Date,Po No,Po Date,Party.Chln.No,Party.Chln.Date,Party Name,SR NO,ITEM NAME,,UOM,BATCH NO,TR QTY,TR RATE,EXP DATE,LOCATION,Discount,Disc.Value,NET RATE,CGST,CGST Amt,SGST/IGST,SGST/IGST AMT,TOT AMT,Remarks
,PC,14,19-05-2020,146,18-05-2020,1890,18-05-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,4,NITRILE MICRO TOUCH POWDER FREE (300 PCS),,PKT,,5.000,1350.00,,,,0.00,0.00,CGST 6%,405.00,CGST 6%,405.00,7560.00,
,PC,15,20-05-2020,147,19-05-2020,3174,19-05-2020,PARAMOUNT,1,BPX DIGITAL MACHINE_ROMSONS MAKE,,NOS,,1.000,1325.00,,,,0.00,0.00,CGST 6%,80.00,CGST 6%,80.00,1485.00,FOR MRI REQ./4th FLOOR/Dr.DHRUVINA
,PC,16,30-05-2020,159,30-05-2020,---,25-05-2020,FREELANCE PATEL AGENCY,1,"CD-R Proffetional, 52x Speed, 700MB, 80Min",,NOS,,500.000,9.75,,,,0.00,9.75,,0.00,,0.00,4875.00,500 RECEIVED CD-FRONTECH
,PC,17,04-06-2020,159,30-05-2020,96,03-06-2020,FREELANCE PATEL AGENCY,1,"CD-R Proffetional, 52x Speed, 700MB, 80Min",,NOS,,500.000,9.75,,,,0.00,0.00,,0.00,,0.00,9750.00,
,PC,17,04-06-2020,159,30-05-2020,96,03-06-2020,FREELANCE PATEL AGENCY,2,CD/COVER,,NOS,,700.000,1.40,,,,0.00,0.00,,0.00,,0.00,980.00,
,PC,18,13-06-2020,185,12-06-2020,1965,09-06-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,SODIUM N S BOTTLE 250 ml,,BOT,,14.000,16.80,,,,0.00,0.00,CGST 6%,14.00,CGST 6%,14.00,263.20,
,PC,18,13-06-2020,185,12-06-2020,1965,09-06-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,2,MICROBAR SUSPENTION LIQUIDE,,BOT,,1.000,291.00,,,,0.00,0.00,CGST 6%,17.00,CGST 6%,17.00,325.00,
,PC,18,13-06-2020,185,12-06-2020,1965,09-06-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,3,COTTON ROLL,,NOS,,2.000,110.00,,,,0.00,0.00,CGST 6%,13.00,CGST 6%,13.00,246.00,
,PC,18,13-06-2020,185,12-06-2020,1965,09-06-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,4,POVIDONE IODINE SOLUTION (BITADIN),,LTR,,2.000,197.50,,,,0.00,0.00,CGST 6%,24.00,CGST 6%,24.00,443.00,
,PC,19,13-06-2020,185,12-06-2020,1970,10-06-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,PURIFIED WATER IP (10 Ml) STERILE WATER,,NOS,,50.000,2.09,,,,0.00,0.00,CGST 6%,6.00,CGST 6%,6.00,116.50,
,PC,20,13-06-2020,181,11-06-2020,3217,09-06-2020,PARAMOUNT,1,NIPRO WING CATH 24G YELLOW,,NOS,,180.000,16.20,,,,0.00,0.00,CGST 6%,175.00,CGST 6%,175.00,3266.00,
,PC,20,13-06-2020,181,11-06-2020,3217,09-06-2020,PARAMOUNT,2,"ROMSONS SYRINGE 23Gx1"" 5ML SIZE",,NOS,,200.000,2.10,,,,0.00,0.00,CGST 6%,25.00,CGST 6%,25.00,470.00,
,PC,20,13-06-2020,181,11-06-2020,3217,09-06-2020,PARAMOUNT,3,"ROMSONS SYRINGE 23Gx1"" 2ML SIZE",,NOS,,300.000,1.60,,,,0.00,0.00,CGST 6%,29.00,CGST 6%,29.00,538.00,
,PC,21,13-06-2020,181,11-06-2020,3219,10-06-2020,PARAMOUNT,1,LOW POWDER EXAMINATION GLOVES KALTEX,,PKT,,4.000,370.00,,,,0.00,0.00,CGST 6%,89.00,CGST 6%,89.00,1658.00,
,PC,22,16-06-2020,193,16-06-2020,1982,13-06-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,NIPRO WING CATH   20G PINK,,NOS,,200.000,16.20,,,,0.00,0.00,CGST 6%,194.00,CGST 6%,194.00,3628.00,FOR CT REQ.
,PC,23,16-06-2020,193,16-06-2020,1993,16-06-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,SPINAL NEEDLE NO.18 PINK,,NOS,,50.000,48.50,01/03/2023,,,0.00,0.00,CGST 6%,146.00,CGST 6%,146.00,2717.00,FOR CT REQ.
,PC,24,18-06-2020,196,17-06-2020,3231,15-06-2020,PARAMOUNT,1,B I VALVE,,NOS,,500.000,9.80,,,,0.00,0.00,CGST 6%,294.00,CGST 6%,294.00,5488.00,
,PC,25,26-06-2020,210,25-06-2020,2010,20-06-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,BACTORUB BLUE,,BOT,,20.000,185.00,01/03/2023,,,0.00,0.00,CGST 6%,222.00,CGST 6%,222.00,4144.00,FOR DOCTORS USED
,PC,26,27-06-2020,215,27-06-2020,2029,25-06-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,BARIUM POWDER,,NOS,,2.000,955.20,01/12/2024,,,0.00,0.00,CGST 6%,115.00,CGST 6%,115.00,2140.40,
,PC,26,27-06-2020,215,27-06-2020,2029,25-06-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,2,MICROBAR SUSPENTION LIQUIDE,,BOT,,2.000,291.00,01/01/2023,,,0.00,0.00,CGST 6%,35.00,CGST 6%,35.00,652.00,
,PC,27,27-06-2020,215,27-06-2020,2040,27-06-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,LOW POWDER EXAMINATION GLOVES KALTEX,,PKT,,20.000,395.00,01/04/2023,,,0.00,0.00,CGST 6%,474.00,CGST 6%,474.00,8848.00,
,PC,28,08-07-2020,248,08-07-2020,2084,07-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,BARIUM POWDER,,NOS,,1.000,955.20,,,,0.00,0.00,CGST 6%,57.00,CGST 6%,57.00,1069.20,FOR JUL-2020
,PC,28,08-07-2020,248,08-07-2020,2084,07-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,2,MICROBAR SUSPENTION LIQUIDE,,BOT,,2.000,291.00,,,,0.00,0.00,CGST 6%,35.00,CGST 6%,35.00,652.00,FOR JUL-2020
,PC,28,08-07-2020,248,08-07-2020,2084,07-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,3,COTTON ROLL,,NOS,,3.000,110.00,,,,0.00,0.00,CGST 6%,20.00,CGST 6%,20.00,370.00,FOR JUL-2020
,PC,28,08-07-2020,248,08-07-2020,2084,07-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,4,MEDI TAPE SURGICAL,,PKT,,2.000,310.00,,,,0.00,0.00,CGST 6%,37.00,CGST 6%,37.00,694.00,FOR JUL-2020
,PC,28,08-07-2020,248,08-07-2020,2084,07-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,5,MANITOL INJECTION,,Bot,,30.000,25.00,,,,0.00,0.00,CGST 6%,45.00,CGST 6%,45.00,840.00,FOR JUL-2020
,PC,28,08-07-2020,248,08-07-2020,2084,07-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,6,SONOGEL,,NOS,,200.000,42.05,,,,0.00,0.00,CGST9%,757.00,CGST9%,757.00,9924.00,FOR JUL-2020
,PC,28,08-07-2020,248,08-07-2020,2084,07-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,7,NIPRO WING CATH   20G PINK,,NOS,,200.000,16.20,,,,0.00,0.00,CGST 6%,194.00,CGST 6%,194.00,3628.00,FOR JUL-2020
,PC,29,08-07-2020,248,08-07-2020,2062,04-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,LOW POWDER EXAMINATION GLOVES KALTEX,,PKT,,30.000,395.00,,,,0.00,0.00,CGST 6%,711.00,CGST 6%,711.00,13272.00,
,PC,30,08-07-2020,249,08-07-2020,3283,07-07-2020,PARAMOUNT,1,ROMSONS SYRINGE 21Gx1.5 10ML SIZE,,NOS,,150.000,3.35,,,,0.00,0.00,CGST 6%,30.00,CGST 6%,30.00,562.50,
,PC,30,08-07-2020,249,08-07-2020,3283,07-07-2020,PARAMOUNT,2,"ROMSONS SYRINGE 23Gx1"" 2ML SIZE",,NOS,,200.000,1.60,,,,0.00,0.00,CGST 6%,19.00,CGST 6%,19.00,358.00,
,PC,30,08-07-2020,249,08-07-2020,3283,07-07-2020,PARAMOUNT,3,"ROMSONS SYRINGE 23Gx1"" 5ML SIZE",,NOS,,200.000,2.10,,,,0.00,0.00,CGST 6%,25.00,CGST 6%,25.00,470.00,
,PC,30,08-07-2020,249,08-07-2020,3283,07-07-2020,PARAMOUNT,4,FG-06 FEEDY GRADUATED INFANT FEEDING TUBE,,NOS,,20.000,6.75,,,,0.00,0.00,CGST 6%,8.00,CGST 6%,8.00,151.00,
,PC,30,08-07-2020,249,08-07-2020,3283,07-07-2020,PARAMOUNT,5,URO CATH FOLEY BALOON FG20,,NOS,,50.000,46.00,,,,0.00,0.00,CGST 6%,138.00,CGST 6%,138.00,2576.00,
,PC,31,08-07-2020,194,16-06-2020,035,08-07-2020,ENERGY PRINT,1,COMMON LETTER HEAD A/4 SIZE,,NOS,,6000.000,1.14,,,,0.00,1.14,,0.00,,0.00,6840.00,PART LOAD RECIVED
,PC,32,11-07-2020,255,11-07-2020,2086,08-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,BACTORUB BLUE-KIRAN,,CAN,,6.000,1107.00,,,,0.00,0.00,CGST9%,598.00,CGST9%,598.00,7838.00,
,PC,33,11-07-2020,255,11-07-2020,2091,09-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,NIPRO SYRINGE 50 ML SIZE WITHOUT NEEDLE,,NOS,,30.000,30.00,,,,0.00,0.00,CGST 6%,54.00,CGST 6%,54.00,1008.00,
,PC,34,11-07-2020,255,11-07-2020,2094,10-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,NITRILE MICRO TOUCH  POWDER FREE,,NOS,,150.000,5.00,,,,0.00,0.00,CGST 6%,45.00,CGST 6%,45.00,840.00,
,PC,34,11-07-2020,255,11-07-2020,2094,10-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,2,ZYLOCAINE JEL,,NOS,,20.000,25.52,,,,0.00,0.00,CGST 6%,31.00,CGST 6%,31.00,572.40,
,PC,35,30-07-2020,292,29-07-2020,361,29-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,PURIFIED WATER IP (50 Ml) STERILE WATER,,BOT,,20.000,13.50,,,,0.00,0.00,CGST 6%,16.00,CGST 6%,16.00,302.00,For Aug-2020
,PC,35,30-07-2020,292,29-07-2020,361,29-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,2,NIPRO WING CATH   20G PINK,,NOS,,200.000,16.20,,,,0.00,0.00,CGST 6%,194.00,CGST 6%,194.00,3628.00,For Aug-2020
,PC,35,30-07-2020,292,29-07-2020,361,29-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,3,SPINAL NEEDLE NO.18 PINK,,NOS,,13.000,48.50,,,,0.00,0.00,CGST 6%,38.00,CGST 6%,38.00,706.50,For Aug-2020
,PC,35,30-07-2020,292,29-07-2020,361,29-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,4,BARIUM POWDER,,NOS,,1.000,955.20,,,,0.00,0.00,CGST 6%,57.00,CGST 6%,57.00,1069.20,For Aug-2020
,PC,35,30-07-2020,292,29-07-2020,361,29-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,5,MEDI TAPE SURGICAL,,PKT,,2.000,310.00,,,,0.00,0.00,CGST 6%,37.00,CGST 6%,37.00,694.00,For Aug-2020
,PC,35,30-07-2020,292,29-07-2020,361,29-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,6,MANITOL INJECTION,,Bot,,10.000,25.00,,,,0.00,0.00,CGST 6%,15.00,CGST 6%,15.00,280.00,For Aug-2020
,PC,35,30-07-2020,292,29-07-2020,361,29-07-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,7,SONOGEL,,NOS,,100.000,42.05,,,,0.00,0.00,CGST9%,378.00,CGST9%,378.00,4961.00,For Aug-2020
,PC,36,30-07-2020,291,29-07-2020,3322,29-07-2020,PARAMOUNT,1,"ROMSONS SYRINGE 23Gx1"" 5ML SIZE",,NOS,,100.000,2.10,,,,0.00,0.00,CGST 6%,13.00,CGST 6%,13.00,236.00,For Aug-2020
,PC,36,30-07-2020,291,29-07-2020,3322,29-07-2020,PARAMOUNT,2,ROMSONS SYRINGE 21Gx1.5 20ML SIZE,,NOS,,50.000,8.50,,,,0.00,0.00,CGST 6%,26.00,CGST 6%,26.00,477.00,For Aug-2020
,PC,36,30-07-2020,291,29-07-2020,3322,29-07-2020,PARAMOUNT,3,ROMSONS WING CATH 24G YELLOW,,NOS,,100.000,16.20,,,,0.00,0.00,CGST 6%,97.00,CGST 6%,97.00,1814.00,For Aug-2020
,PC,36,30-07-2020,291,29-07-2020,3322,29-07-2020,PARAMOUNT,4,B I VALVE,,NOS,,350.000,9.80,,,,0.00,0.00,CGST 6%,206.00,CGST 6%,206.00,3842.00,For Aug-2020
,PC,36,30-07-2020,291,29-07-2020,3322,29-07-2020,PARAMOUNT,5,SCALP VEIN SET NG 23,,NOS,,200.000,4.50,,,,0.00,0.00,CGST 6%,54.00,CGST 6%,54.00,1008.00,For Aug-2020
,PC,37,01-08-2020,194,16-06-2020,23,31-07-2020,ENERGY PRINT,1,COMMON LETTER HEAD A/4 SIZE,,NOS,,10000.000,1.14,,,,0.00,0.00,,0.00,,0.00,18240.00,10000 QTY RECEIVED
,PC,38,06-08-2020,204,22-06-2020,006,06-08-2020,DARSHI MARKETING,1,11*14 BAG FOR X RAY ANAND,,NOS,,1200.000,5.17,,,,0.00,5.17,CGST9%,558.00,CGST9%,558.00,7320.00,PARTLY RECEIVED/ URGENT BASIS
,PC,39,12-08-2020,204,22-06-2020,007,12-08-2020,DARSHI MARKETING,1,11*14 BAG FOR X RAY ANAND,,NOS,,2700.000,5.17,,,,0.00,5.17,CGST9%,1256.00,CGST9%,1256.00,16471.00,
,PC,40,11-09-2020,361,05-09-2020,17,07-09-2020,AKSHIT PHARMA AND SURGICALS,1,NITRILE MICRO TOUCH POWDER FREE (150 PCS),,PKT,,50.000,568.75,,,,0.00,0.00,CGST 6%,1706.00,CGST 6%,1706.00,31849.50,BASE ON CHALAN RECEIVED
,PC,41,22-09-2020,365,09-09-2020,04,18-09-2020,ADCARE,1,BED SHEET BLUE,,NOS,,100.000,13.00,,,,0.00,13.00,CGST 6%,78.00,CGST 6%,78.00,1456.00,"100 NOS. PARTLY RECEIVED WHITE, DUE TO URGENCY BASE/ BLUE NOT AVAILABLE"
,PC,42,30-09-2020,408,29-09-2020,3458,29-09-2020,PARAMOUNT,1,"ROMSONS SYRINGE 23Gx1"" 2ML SIZE",,NOS,,500.000,1.60,01/10/2023,,,0.00,0.00,CGST 6%,48.00,CGST 6%,48.00,896.00,OCT-2020
,PC,42,30-09-2020,408,29-09-2020,3458,29-09-2020,PARAMOUNT,2,"ROMSONS SYRINGE 23Gx1"" 5ML SIZE",,NOS,,200.000,2.10,01/03/2024,,,0.00,0.00,CGST 6%,25.00,CGST 6%,25.00,470.00,OCT-2020
,PC,42,30-09-2020,408,29-09-2020,3458,29-09-2020,PARAMOUNT,3,ROMSONS SYRINGE 21Gx1.5 10ML SIZE,,NOS,,100.000,3.35,01/08/2024,,,0.00,0.00,CGST 6%,20.00,CGST 6%,20.00,375.00,OCT-2020
,PC,42,30-09-2020,408,29-09-2020,3458,29-09-2020,PARAMOUNT,4,ROMSONS SYRINGE 21Gx1.5 20ML SIZE,,NOS,,125.000,8.50,01/12/2023,,,0.00,0.00,CGST 6%,64.00,CGST 6%,64.00,1190.50,OCT-2020
,PC,42,30-09-2020,408,29-09-2020,3458,29-09-2020,PARAMOUNT,5,HYPODERMIC NEEDLE 18G,,NOS,,300.000,1.25,01/05/2023,,,0.00,0.00,CGST 6%,22.00,CGST 6%,22.00,419.00,OCT-2020
,PC,42,30-09-2020,408,29-09-2020,3458,29-09-2020,PARAMOUNT,6,SCALP VEIN SET NG 23,,NOS,,200.000,4.50,01/06/2024,,,0.00,0.00,CGST 6%,54.00,CGST 6%,54.00,1008.00,OCT-2020
,PC,43,03-10-2020,407,29-09-2020,2279,30-09-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,BARIUM POWDER,,NOS,,1.000,955.20,31/05/2025,,,0.00,0.00,CGST 6%,57.00,CGST 6%,57.00,1069.20,
,PC,44,03-10-2020,407,29-09-2020,2273,29-09-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,SONOGEL,,NOS,,100.000,42.05,,,,0.00,42.05,CGST9%,378.00,CGST9%,378.00,4961.00,
,PC,45,03-10-2020,399,25-09-2020,2264,26-09-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,N-95 FACE MASK,,NOS,,100.000,30.00,,,,0.00,30.00,CGST2.5%,75.00,CGST2.5%,75.00,3150.00,STAFF USED
,PC,46,03-10-2020,399,25-09-2020,2271,29-09-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,N-95 FACE MASK,,NOS,,150.000,30.00,,,,0.00,0.00,CGST2.5%,188.00,CGST2.5%,188.00,7876.00,OCT-2020
,PC,47,09-10-2020,365,09-09-2020,05,08-10-2020,ADCARE,1,BED SHEET BLUE,,NOS,,100.000,13.00,,,,0.00,0.00,CGST 6%,156.00,CGST 6%,156.00,2912.00,100 RECEIVED
,PC,48,10-10-2020,428,10-10-2020,2326,10-10-2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,1,NITRILE MICRO TOUCH POWDER FREE (300 PCS),,PKT,,3.000,1650.00,01/05/2023,,,0.00,0.00,CGST 6%,297.00,CGST 6%,297.00,5544.00,FOR DOCTORS ONLY
,PC,49,10-10-2020,373,12-09-2020,011,10-10-2020,DARSHI MARKETING,1,14*17 COMMON BAG MULTI COLOUR (NEW),,NOS,,6000.000,10.75,,,,0.00,10.75,CGST9%,5805.00,CGST9%,5805.00,76110.00,PARTLY RECEIVED
,PC,50,26-10-2020,430,12-10-2020,06,22-10-2020,ADCARE,1,BED SHEET BLUE,,NOS,,40.000,12.00,,,,0.00,12.00,CGST 6%,29.00,CGST 6%,29.00,538.00,Partly received 40 nos.urgent basis
,PC,51,31-10-2020,430,12-10-2020,400,30-10-2020,ADCARE,1,BED SHEET BLUE,,NOS,,200.000,12.00,,,,0.00,12.00,CGST 6%,144.00,CGST 6%,144.00,2688.00,200+40 EXTRA RECEIVED (Supply with debit note)
,PC,52,20-11-2020,373,12-09-2020,013,20-10-2020,DARSHI MARKETING,1,14*17 COMMON BAG MULTI COLOUR (NEW),,NOS,,9000.000,10.75,,,,0.00,0.00,CGST9%,14512.00,CGST9%,14512.00,190274.00,6000+9000 QTY RECEIVED
,PC,53,24-11-2020,442,14-10-2020,014,23-11-2020,DARSHI MARKETING,1,RECEIPT PAPER FOR ANAND,,NOS,,7200.000,0.36,,,,0.00,0.36,CGST9%,233.00,CGST9%,233.00,3058.00,"7,200 QTY RECEIVED PARTLY OUT OF 16,000 QTY."
,PC,54,30-11-2020,513,28-11-2020,956,27-11-2020,WHITE HOUSE,1,DETTOL HAND WASH,,LTR,,10.000,60.00,,,,0.00,60.00,CGST9%,54.00,CGST9%,54.00,708.00,PARTLY RECEIVED
,PC,54,30-11-2020,513,28-11-2020,956,27-11-2020,WHITE HOUSE,2,ROOM SPRAY,,NOS,,24.000,76.30,,,,0.00,0.00,CGST9%,165.00,CGST9%,165.00,2161.20,PARTLY RECEIVED
